latitude,longitude,id,name,old_name,addr:housenumber,addr:street,siruta
45.844821,24.9672685,1615566087,COLEGIUL NATIONAL DOAMNA STANCA,,,,40287
45.841672,24.9768073,1615566088,SCOALA GIMNAZIALA OVID DENSUSIANU,,,,40287
45.8454523,24.969524,1615566091,SCOALA GENERALA NR 6,,,,40287
45.8423712,24.9696731,1615566099,COLEGIUL NATIONAL RADU NEGRU,,,,40287
45.8352498,24.9698996,1615566101,SCOALA GENERALA NR 7,,,,40287
45.834629,24.9738491,1615566102,LICEUL TEOLOGIC ORTODOX SF CONSTANTIN BRANCOVEANU,,,,40287
45.8421466,24.9677324,1615566105,COLEGIUL NATIONAL RADU NEGRU,,,,40287
45.8202078,24.9675896,1615566107,COLEGIUL AUREL VIJOLI,,,,40287
47.4496639,26.850557,1619907415,,,,,0
47.4631806,26.3017509,1621471980,COLEGIUL NATIONAL NICU GANE,,,,146548
44.9865226,26.6833351,1629711420,SCOALA MOVILA BANULUI,,,,47783
43.7557861,24.87067,1679603486,,,,,151692
43.7580538,24.8671071,1679619441,SCOALA NR 4,,,,151692
47.1091125,27.5062277,1681555984,SCOALA DIMITRIE ANGHEL I VIII,,,,97964
46.7726264,23.6035928,1687361459,LICEUL SPECIAL PENTRU DEFICIENTI DE VEDERE,,31,Calea Dorobantilor,54984
46.772044,23.5925689,1691110307,LICEUL TEOLOGIC UNITARIAN JANOS ZSIGMOND,,,Bulevardul 21 Decembrie 1989,54984
44.6549009,25.4565678,1699120909,SCOALA GENERALA,,,,68100
