COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,osm,roaep,safe,str,wikidata
,3362102556,3361102841,,146860,146879,3362102556,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL NR. 2 ARBORE,GRADINITA CU PROGRAM NORMAL NR 2 ARBORE,ARBORE,,0,0,,
123,3761104846,,728456,167222,162103,3761104846,VASLUI,,,,"ȘCOALA GIMNAZIALĂ NR. 1, SAT IBĂNEȘTI",SCOALA GENERALA NR 1 SAT IBANESTI,IBĂNEŞTI,,0,0,,
,0562102217,0561108327,364286,31654,31707,0562102217,BIHOR,,,75,ȘCOALA PRIMARĂ NR.1 POIANA,SCOALA PRIMARA NR 1 POIANA,POIANA,,0,0,,
,0462100456,0461108075,,20563,20572,0462100456,BACĂU,,,,GRADINITA CU PROGRAM PRELUNGIT NR 8 ONESTI,GRADINITA CU PROGRAM PRELUNGIT NR 8 ONESTI,ONEŞTI,,0,0,CAUCIUCULUI NR 1,
,0562107335,0561101261,1193749,31716,31770,0562107335,BIHOR,,,165,GRĂDINIŢA CU PROGRAM NORMAL NR. 4 UILEACU DE CRIŞ,GRADINITA CU PROGRAM NORMAL NR 4 UILEACU DE CRIS,UILEACU DE CRIŞ,,0,0,PRINCIPALA,
,0462102295,0461105054,,22380,22415,0462102295,BACĂU,,,,GRADINITA CU PROGRAM NORMAL CUCUIETI,GRADINITA CU PROGRAM NORMAL CUCUIETI,CUCUIEŢI,,0,0,,
29112061,1761100802,,492655,75098,75105,1761100802,GALAŢI,,,12,"GRADINITA CU PROGRAM NORMAL ""IOAN NENITESCU"", LOCALITATEA GALATI",GRADINITA CU PROGRAM NORMAL IOAN NENITESCU LOCALITATEA GALATI,GALAŢI,,0,0,ION NENITESCU,
,0162102146,0161102508,,1017,1026,0162102146,ALBA,,,27,GRADINITA CU PROGRAM PRELUNGIT NR. 2 ALBA IULIA,GRADINITA CU PROGRAM PRELUNGIT NR 2 ALBA IULIA,ALBA IULIA,,0,0,TRAIAN,
,0462102743,0461108378,,22898,22914,0462102743,BACĂU,,,,GRADINITA CU PROGRAM NORMAL BRATILA,GRADINITA CU PROGRAM NORMAL BRATILA,BRĂTILA,,0,0,,
5054842,4081103492,,1146576,179132,179150,4081103492,MUNICIPIUL BUCUREŞTI,,,07.sep,Clubul Sportiv Școlar ”Dinamo”,CLUBUL SPORTIV SCOLAR DINAMO,BUCUREŞTI SECTORUL 2,,0,0,Ştefan cel Mare,
18004692,1261100036,,120439603,58311,58320,1261100036,CLUJ,,,124,"ȘCOALA GIMNAZIALĂ LUNA, COM. LUNA",SCOALA GENERALA LUNA COM LUNA,LUNA,,0,0,,
29323450,1361100093,,130451730,60419,60428,1361100093,CONSTANŢA,44.18982155,28.6384791650064,13,ȘCOALA GIMNAZIALĂ NR. 30 ’GHEORGHE ŢIŢEICA’ CONSTANŢA,SCOALA GENERALA NR 30 GHEORGHE TITEICA CONSTANTA,CONSTANŢA,135671585,0,0,Flămânda,
,1362103847,1361100107,,61737,61773,1362103847,CONSTANŢA,,,,GRĂDINIŢA CU PROGRAM NORMAL LESPEZI,GRADINITA CU PROGRAM NORMAL LESPEZI,LESPEZI,,0,0,,
31478537,1261202167,,124530326,54975,54984,1261202167,CLUJ,,,3,"ȘCOALA GIMNAZIALĂ ""CHRISTIANA"" CLUJ-NAPOCA",SCOALA GENERALA CHRISTIANA CLUJ NAPOCA,CLUJ-NAPOCA,,0,0,Moldoveanu,
,3362106646,3361102633,,149584,149593,3362106646,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL BAINET,GRADINITA CU PROGRAM NORMAL BAINET,BAINEŢ,,0,0,,
