lat,lon,altitude,geometry,,id,amenity,name,created_by,old_name,addr:housenumber,addr:street,int_name,ele,fixme,name:de,addr:city,addr:postcode,is_in:city,is_in:country,is_in:county,operator,phone,note,addr:housename,addr:postcode:source,wheelchair,is_in:country_code,local:picture,source:name,name:ro,addr:country,alt_name,website,name:en,source,building,toilets:wheelchair,description,name:hu,historic,addr:county,email,designation,name:,source:amenity,contact:phone,office,opening_hours,name:am,working
44.9438617,26.302725,,Point,node/480004078,school,SCOALA SF VINERI,,,,,,,,,,,,,,,,,,,,,,,,,Scoala 21,,,,,,,,,,,,,,,,,,,
44.9597799,26.1398539,,Point,node/480009729,school,LICEU VALEA CALUGAREASCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.805834,21.647366,,Point,node/481298144,school,COLEGIUL NATIONAL ARANY JANOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.9271922,26.223774,,Point,node/481442907,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.9325353,25.993005,,Point,node/482217261,school,SCOALA NR 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.9307784,26.5728,,Point,node/482217341,school,SCOALA NR 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.7983196,24.1536668,,Point,node/482811677,school,SCOALA GENERALA NR 2,,,13,Strada Avram Iancu,,,,,Sibiu,550183,Sibiu,Romania,Sibiu,,,,,,,RO,,,,,,,,,,,,,,,,,,,,,,,,
45.7795362,24.1503216,,Point,node/482811688,school,LICEUL TEOLOGIC BAPTIST BETANIA,,,,,,,,,,,Sibiu,Romania,Sibiu,,,,,,,RO,,,,,,,,,,,,,,,,,,,,,,,,
45.813728,24.1359068,,Point,node/482811698,school,SCOALA GENERALA NR 23,,,,,,,,,,,Sibiu,Romania,Sibiu,,,,,,,RO,,,,,,,,,,,,,,,,,,,,,,,,
45.7853844,24.1164169,,Point,node/482811700,school,,,,,,,,,,,,Sibiu,Romania,Sibiu,,,,,,,RO,,,,,,,,,,,,,,,,,,,,,,,,
45.7896159,24.1181592,,Point,node/482811701,school,,,,,,,,,,,,Sibiu,Romania,Sibiu,,,,,,,RO,,,,,,,,,,,,,,,,,,,,,,,,
